strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAG_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt2.5R,72,1.38,0.0191,0.333,1.04,6,-10.87,-21.81,0.26,1.11
XAG_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt4.0R,22,1.34,0.0607,0.273,1.1,8,-12.79,-12.6,0.09,0.38
XAG_SWING_4H_pullback|DXY_bear|HTF1D|tgt4.0R,22,1.34,0.0607,0.273,1.1,8,-12.79,-12.6,0.09,0.38
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.5R,48,1.21,0.0251,0.375,1.06,8,-10.19,-17.77,0.17,0.74
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt2.5R,48,1.21,0.0251,0.375,1.06,8,-10.19,-17.77,0.17,0.74
XAG_INTRA_1H_pullback|no_macro|HTF1D|tgt4.0R,85,1.02,0.012,0.329,1.02,7,-18.73,-30.72,0.73,3.14
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt2.5R,48,0.99,0.0207,0.354,1.05,8,-10.9,-18.98,0.17,0.74
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.5R,48,0.99,0.0207,0.354,1.05,8,-10.9,-18.98,0.17,0.74
XAG_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt4.0R,47,0.97,0.0207,0.319,1.04,8,-14.92,-21.74,0.17,0.72
XAG_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt3.0R,47,0.97,0.0207,0.34,1.04,8,-13.05,-20.92,0.17,0.72
XAG_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D|tgt4.0R,47,0.97,0.0207,0.319,1.04,8,-14.92,-21.74,0.17,0.72
XAG_SWING_4H_brk10_b70|DXY_below_ema200|HTF1D+12H|tgt3.0R,47,0.97,0.0207,0.34,1.04,8,-13.05,-20.92,0.17,0.72
XAG_INTRA_1H_pullback|DXY_strong_bear|HTF1D|tgt3.0R,31,0.95,0.0307,0.419,1.06,5,-10.8,-14.58,0.33,1.4
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt2.5R,47,0.9,0.0192,0.383,1.04,6,-10.36,-17.56,0.17,0.72
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.5R,47,0.9,0.0192,0.383,1.04,6,-10.36,-17.56,0.17,0.72
XAG_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,50,0.8,0.016,0.34,1.03,5,-13.95,-20.87,0.48,2.06
XAG_INTRA_1H_pullback|DXY_bear|HTF1D+HTF4H|tgt4.0R,52,0.77,0.0148,0.327,1.03,6,-18.69,-24.57,0.45,1.93
XAG_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt3.0R,45,0.6,0.0133,0.356,1.03,5,-13.29,-21.37,0.17,0.73
